# กติกาต่อรายการของ ZAP baseline (Phase 7 · P7-03) — รูปแบบ: <id> <TAB> <FAIL|WARN|IGNORE> <TAB> <เหตุผล>
#
# **ค่าเริ่มต้นของทุกกฎที่ไม่ได้อยู่ในไฟล์นี้คือ WARN** ซึ่งไม่ทำให้ job แดง
# (สคริปต์รันด้วย -I) ไฟล์นี้จึงมีหน้าที่เดียว: **บอกว่าอะไรคือการถอยหลัง**
#
# ทุกข้อที่ตั้งเป็น FAIL ตอนนี้ **ผ่านอยู่แล้ว** — มันไม่ได้มีไว้หาของใหม่
# แต่มีไว้จับวันที่ใครถอดด่านที่มีอยู่ออกโดยไม่ตั้งใจ (เช่นแก้ Talisman
# แล้ว CSP หาย หรือแก้ nginx แล้วคุกกี้ไม่มี Secure) ซึ่งเป็นความพังที่
# ไม่มีเทสต์ระดับหน่วยตัวไหนเห็น เพราะมันเกิดที่ชั้น stack ที่รันจริง
#
# **ห้ามใส่ IGNORE โดยไม่มีเหตุผลที่คนอื่นตรวจได้** — IGNORE คือการบอกว่า
# "เห็นแล้วและตัดสินใจแล้ว" ไม่ใช่ "ไม่อยากเห็น"

# --- ด่านที่มีอยู่แล้วและห้ามหาย (ทั้งหมดนี้ PASS อยู่ ณ วันที่เพิ่มไฟล์นี้) ---
10010	FAIL	คุกกี้ต้องมี HttpOnly — tests/test_security_headers.py คุมฝั่งแอป ตัวนี้คุมฝั่ง stack จริง
10011	FAIL	คุกกี้ต้องมี Secure เมื่อเปิด TLS — ถอด HTTPS_ENABLED แล้วต้องรู้ตัว
10054	FAIL	คุกกี้ต้องมี SameSite — เป็นด่าน CSRF ชั้นที่สองต่อจาก token
10019	FAIL	ทุกคำตอบที่มีเนื้อหาต้องมี Content-Type (ASVS V4.1.1)
10020	FAIL	ต้องกัน clickjacking ได้ — เราใช้ frame-ancestors ใน CSP ไม่ใช่ X-Frame-Options
10021	FAIL	X-Content-Type-Options: nosniff ต้องมีทุกคำตอบ (ASVS V3.4.4)
10023	FAIL	ห้ามมีข้อความ debug หลุดออกมา — debug ต้องปิดใน production (ASVS V13.4.2)
10024	FAIL	ห้ามมีข้อมูลอ่อนไหวใน URL — path ลง log ทุกบรรทัด (ADR 0024)
10025	FAIL	ห้ามให้ข้อมูลอ่อนไหวรั่วทาง Referer — เราตั้ง strict-origin-when-cross-origin ไว้
10033	FAIL	ห้ามเปิด directory listing (ASVS V13.4.3)
10035	FAIL	HSTS ต้องมีเมื่อเปิด TLS — ถอดแล้วผู้ใช้กลับไปเสี่ยงกับการถูกลดชั้นเป็น http
10038	FAIL	CSP ต้องมี — ทั้งสถาปัตยกรรมฝั่ง client พึ่งมันอยู่ (ADR 0010)
10040	FAIL	หน้า https ห้ามมีเนื้อหาที่โหลดผ่าน http
10041	FAIL	ฟอร์มบนหน้า http ห้ามส่งไป https แบบข้ามชั้น
10042	FAIL	ฟอร์มบนหน้า https ห้ามส่งไป http
10098	FAIL	ห้ามตั้ง CORS แบบเปิดกว้าง — ตอนนี้ไม่ตั้งเลยซึ่งเข้มที่สุด (ASVS V3.4.2)
10202	FAIL	ทุกฟอร์มต้องมี anti-CSRF token — CSRFProtect คุมทั้งแอป (ADR 0005)
90022	FAIL	ห้ามให้ stack trace หรือข้อความ error ภายในหลุดออกไป (ASVS V16.5.1)

# --- ที่ยังเตือนอยู่ และเป็นช่องว่างที่บันทึกไว้แล้วใน docs/ASVS.md ---
# ไม่ตั้งเป็น FAIL เพราะจะทำให้ job แดงตั้งแต่วันแรกด้วยเรื่องที่รู้อยู่แล้ว
# และงานที่ทำให้มันหายไปมีเจ้าของอยู่ใน backlog ของ ASVS แล้ว
10015	WARN	ASVS V14.3.2 — หน้าที่มีข้อมูลส่วนตัวยังไม่ได้ตั้ง no-store (อยู่ใน backlog)
10049	WARN	เรื่องเดียวกับ 10015 — เนื้อหาที่แคชได้ทั้งที่ต้อง login
90004	WARN	ไม่ได้ตั้ง Cross-Origin-Embedder-Policy — ยังไม่มีอะไรในระบบต้องการ cross-origin isolation

# --- ที่ทบทวนแล้วว่าเป็นข้อสังเกต ไม่ใช่ข้อบกพร่อง ---
10031	IGNORE	ค่าตัวกรอง (status/when/within) ถูกสะท้อนกลับใน value ของ input ซึ่งเป็นพฤติกรรมที่ต้องมีของฟอร์มที่จำค่าไว้ · Jinja escape ให้แล้วและ CSP ไม่มี unsafe-inline
10112	IGNORE	ZAP แค่รายงานว่าเห็นคุกกี้ session ไม่ใช่ข้อบกพร่อง
10111	IGNORE	ZAP แค่รายงานว่าเห็นหน้า login ไม่ใช่ข้อบกพร่อง
10113	IGNORE	ZAP แค่รายงานว่าเห็นหน้ายืนยันตัว ไม่ใช่ข้อบกพร่อง
10116	IGNORE	"ZAP is out of date" เป็นเรื่องของ image ที่ CI ดึงมา ไม่ใช่ของแอป
